Creating 1 workers...
Opening file... beginning processing...
	 Frame 0,	Number of micelles: 201
	 Frame 10,	Number of micelles: 72
	 Frame 20,	Number of micelles: 53
	 Frame 30,	Number of micelles: 41
	 Frame 40,	Number of micelles: 43
	 Frame 50,	Number of micelles: 33
	 Frame 60,	Number of micelles: 28
	 Frame 70,	Number of micelles: 28
	 Frame 80,	Number of micelles: 25
	 Frame 90,	Number of micelles: 25
	 Frame 100,	Number of micelles: 29
	 Frame 110,	Number of micelles: 22
	 Frame 120,	Number of micelles: 27
	 Frame 130,	Number of micelles: 20
	 Frame 140,	Number of micelles: 25
	 Frame 150,	Number of micelles: 24
	 Frame 160,	Number of micelles: 25
	 Frame 170,	Number of micelles: 19
	 Frame 180,	Number of micelles: 15
	 Frame 190,	Number of micelles: 22
	 Frame 200,	Number of micelles: 18
	 Frame 210,	Number of micelles: 18
	 Frame 220,	Number of micelles: 12
	 Frame 230,	Number of micelles: 20
	 Frame 240,	Number of micelles: 18
	 Frame 250,	Number of micelles: 16
	 Frame 260,	Number of micelles: 16
	 Frame 270,	Number of micelles: 19
	 Frame 280,	Number of micelles: 19
	 Frame 290,	Number of micelles: 18
	 Frame 300,	Number of micelles: 18
	 Frame 310,	Number of micelles: 18
	 Frame 320,	Number of micelles: 18
	 Frame 330,	Number of micelles: 11
	 Frame 340,	Number of micelles: 15
	 Frame 350,	Number of micelles: 16
	 Frame 360,	Number of micelles: 12
	 Frame 370,	Number of micelles: 15
	 Frame 380,	Number of micelles: 13
	 Frame 390,	Number of micelles: 14
	 Frame 400,	Number of micelles: 14
	 Frame 410,	Number of micelles: 25
	 Frame 420,	Number of micelles: 17
	 Frame 430,	Number of micelles: 12
	 Frame 440,	Number of micelles: 15
	 Frame 450,	Number of micelles: 16
	 Frame 460,	Number of micelles: 18
	 Frame 470,	Number of micelles: 18
	 Frame 480,	Number of micelles: 12
	 Frame 490,	Number of micelles: 10
	 Frame 500,	Number of micelles: 9
	 Frame 510,	Number of micelles: 15
	 Frame 520,	Number of micelles: 5
	 Frame 530,	Number of micelles: 10
	 Frame 540,	Number of micelles: 12
	 Frame 550,	Number of micelles: 11
	 Frame 560,	Number of micelles: 11
	 Frame 570,	Number of micelles: 17
	 Frame 580,	Number of micelles: 13
	 Frame 590,	Number of micelles: 8
	 Frame 600,	Number of micelles: 14
	 Frame 610,	Number of micelles: 12
	 Frame 620,	Number of micelles: 17
	 Frame 630,	Number of micelles: 11
	 Frame 640,	Number of micelles: 5
	 Frame 650,	Number of micelles: 11
	 Frame 660,	Number of micelles: 18
	 Frame 670,	Number of micelles: 13
	 Frame 680,	Number of micelles: 19
	 Frame 690,	Number of micelles: 10
	 Frame 700,	Number of micelles: 20
	 Frame 710,	Number of micelles: 14
	 Frame 720,	Number of micelles: 18
	 Frame 730,	Number of micelles: 23
	 Frame 740,	Number of micelles: 14
	 Frame 750,	Number of micelles: 19
	 Frame 760,	Number of micelles: 16
	 Frame 770,	Number of micelles: 15
	 Frame 780,	Number of micelles: 17
	 Frame 790,	Number of micelles: 21
	 Frame 800,	Number of micelles: 19
	 Frame 810,	Number of micelles: 13
	 Frame 820,	Number of micelles: 21
	 Frame 830,	Number of micelles: 22
	 Frame 840,	Number of micelles: 12
	 Frame 850,	Number of micelles: 21
	 Frame 860,	Number of micelles: 22
	 Frame 870,	Number of micelles: 17
	 Frame 880,	Number of micelles: 16
	 Frame 890,	Number of micelles: 31
	 Frame 900,	Number of micelles: 13
	 Frame 910,	Number of micelles: 18
	 Frame 920,	Number of micelles: 21
	 Frame 930,	Number of micelles: 18
	 Frame 940,	Number of micelles: 13
	 Frame 950,	Number of micelles: 17
	 Frame 960,	Number of micelles: 23
	 Frame 970,	Number of micelles: 19
